时间,IP地址,风扇ID,链路ID,板ID,原PWM值,新PWM值,变化值
2026-03-10 01:23:26.793,192.168.1.10,0,0,9,0,99,99
2026-03-10 01:23:26.796,192.168.1.10,1,0,9,0,0,0
2026-03-10 01:23:26.797,192.168.1.10,2,0,9,0,0,0
2026-03-10 01:23:26.798,192.168.1.10,3,0,9,0,0,0
2026-03-10 01:23:26.799,192.168.1.10,4,0,9,0,0,0
2026-03-10 01:23:26.800,192.168.1.10,5,0,9,0,0,0
2026-03-10 01:23:26.801,192.168.1.10,6,0,9,0,0,0
2026-03-10 01:23:26.804,192.168.1.10,7,0,9,0,0,0
2026-03-10 01:23:26.805,192.168.1.10,8,0,9,0,0,0
2026-03-10 01:23:26.805,192.168.1.10,9,0,9,0,0,0
2026-03-10 01:23:26.805,192.168.1.10,10,0,9,0,0,0
2026-03-10 01:23:26.806,192.168.1.10,11,0,9,0,0,0
2026-03-10 01:23:26.806,192.168.1.10,12,0,9,0,0,0
2026-03-10 01:23:26.821,192.168.1.10,13,0,9,0,0,0
2026-03-10 01:23:26.821,192.168.1.10,14,0,9,0,0,0
2026-03-10 01:23:26.821,192.168.1.10,15,0,9,0,0,0
2026-03-10 01:24:29.463,192.168.1.10,0,0,9,0,0,0
2026-03-10 01:24:29.463,192.168.1.10,1,0,9,0,199,199
2026-03-10 01:24:29.464,192.168.1.10,2,0,9,0,0,0
2026-03-10 01:24:29.464,192.168.1.10,3,0,9,0,0,0
2026-03-10 01:24:29.464,192.168.1.10,4,0,9,0,0,0
2026-03-10 01:24:29.465,192.168.1.10,5,0,9,0,0,0
2026-03-10 01:24:29.469,192.168.1.10,6,0,9,0,0,0
2026-03-10 01:24:29.471,192.168.1.10,7,0,9,0,0,0
2026-03-10 01:24:29.471,192.168.1.10,8,0,9,0,0,0
2026-03-10 01:24:29.472,192.168.1.10,9,0,9,0,0,0
2026-03-10 01:24:29.472,192.168.1.10,10,0,9,0,0,0
2026-03-10 01:24:29.473,192.168.1.10,11,0,9,0,0,0
2026-03-10 01:24:29.473,192.168.1.10,12,0,9,0,0,0
2026-03-10 01:24:29.474,192.168.1.10,13,0,9,0,0,0
2026-03-10 01:24:29.474,192.168.1.10,14,0,9,0,0,0
2026-03-10 01:24:29.475,192.168.1.10,15,0,9,0,0,0
2026-03-10 01:25:14.171,192.168.1.10,0,0,9,0,0,0
2026-03-10 01:25:14.172,192.168.1.10,1,0,9,0,0,0
2026-03-10 01:25:14.173,192.168.1.10,2,0,9,0,0,0
2026-03-10 01:25:14.174,192.168.1.10,3,0,9,0,0,0
2026-03-10 01:25:14.175,192.168.1.10,4,0,9,0,0,0
2026-03-10 01:25:14.177,192.168.1.10,5,0,9,0,0,0
2026-03-10 01:25:14.178,192.168.1.10,6,0,9,0,0,0
2026-03-10 01:25:14.178,192.168.1.10,7,0,9,0,0,0
2026-03-10 01:25:14.179,192.168.1.10,8,0,9,0,0,0
2026-03-10 01:25:14.180,192.168.1.10,9,0,9,0,199,199
2026-03-10 01:25:14.180,192.168.1.10,10,0,9,0,0,0
2026-03-10 01:25:14.181,192.168.1.10,11,0,9,0,0,0
2026-03-10 01:25:14.181,192.168.1.10,12,0,9,0,0,0
2026-03-10 01:25:14.182,192.168.1.10,13,0,9,0,0,0
2026-03-10 01:25:14.183,192.168.1.10,14,0,9,0,0,0
2026-03-10 01:25:14.183,192.168.1.10,15,0,9,0,0,0
2026-03-10 01:25:38.407,192.168.1.10,0,0,9,0,0,0
2026-03-10 01:25:38.407,192.168.1.10,1,0,9,0,0,0
2026-03-10 01:25:38.408,192.168.1.10,2,0,9,0,0,0
2026-03-10 01:25:38.408,192.168.1.10,3,0,9,0,0,0
2026-03-10 01:25:38.409,192.168.1.10,4,0,9,0,0,0
2026-03-10 01:25:38.409,192.168.1.10,5,0,9,0,0,0
2026-03-10 01:25:38.410,192.168.1.10,6,0,9,0,0,0
2026-03-10 01:25:38.411,192.168.1.10,7,0,9,0,0,0
2026-03-10 01:25:38.413,192.168.1.10,8,0,9,0,0,0
2026-03-10 01:25:38.413,192.168.1.10,9,0,9,0,0,0
2026-03-10 01:25:38.414,192.168.1.10,10,0,9,0,0,0
2026-03-10 01:25:38.415,192.168.1.10,11,0,9,0,0,0
2026-03-10 01:25:38.415,192.168.1.10,12,0,9,0,0,0
2026-03-10 01:25:38.416,192.168.1.10,13,0,9,0,0,0
2026-03-10 01:25:38.417,192.168.1.10,14,0,9,0,299,299
2026-03-10 01:25:38.417,192.168.1.10,15,0,9,0,0,0
2026-03-10 01:26:11.738,192.168.1.14,0,1,3,0,0,0
2026-03-10 01:26:11.738,192.168.1.14,1,1,3,0,0,0
