时间,IP地址,风扇ID,链路ID,板ID,原PWM值,新PWM值,变化值
2026-04-10 23:52:53.991,192.168.1.2,13,0,1,0,999,999
2026-04-10 23:52:53.991,192.168.1.2,9,0,1,0,999,999
2026-04-10 23:52:53.992,192.168.1.2,5,0,1,0,999,999
2026-04-10 23:52:53.992,192.168.1.2,1,0,1,0,999,999
2026-04-10 23:52:53.993,192.168.1.2,14,0,1,0,999,999
2026-04-10 23:52:53.993,192.168.1.2,10,0,1,0,999,999
2026-04-10 23:52:53.993,192.168.1.2,6,0,1,0,999,999
2026-04-10 23:52:53.993,192.168.1.2,2,0,1,0,999,999
2026-04-10 23:52:53.994,192.168.1.2,15,0,1,0,999,999
2026-04-10 23:52:53.994,192.168.1.2,11,0,1,0,999,999
2026-04-10 23:52:53.994,192.168.1.2,7,0,1,0,999,999
2026-04-10 23:52:53.994,192.168.1.2,3,0,1,0,999,999
2026-04-10 23:52:54.009,192.168.1.2,16,0,1,0,999,999
2026-04-10 23:52:54.010,192.168.1.2,12,0,1,0,999,999
2026-04-10 23:52:54.010,192.168.1.2,8,0,1,0,999,999
2026-04-10 23:52:54.010,192.168.1.2,4,0,1,0,999,999
2026-04-10 23:55:43.772,192.168.1.13,13,1,2,0,999,999
2026-04-10 23:55:43.776,192.168.1.13,9,1,2,0,999,999
2026-04-10 23:55:43.778,192.168.1.13,5,1,2,0,999,999
2026-04-10 23:55:43.781,192.168.1.13,1,1,2,0,999,999
2026-04-10 23:55:43.785,192.168.1.13,14,1,2,0,999,999
2026-04-10 23:55:43.786,192.168.1.13,10,1,2,0,999,999
2026-04-10 23:55:43.789,192.168.1.13,6,1,2,0,999,999
2026-04-10 23:55:43.791,192.168.1.13,2,1,2,0,999,999
2026-04-10 23:55:43.791,192.168.1.13,15,1,2,0,999,999
2026-04-10 23:55:43.791,192.168.1.13,11,1,2,0,999,999
2026-04-10 23:55:43.792,192.168.1.13,7,1,2,0,999,999
2026-04-10 23:55:43.792,192.168.1.13,3,1,2,0,999,999
2026-04-10 23:55:43.793,192.168.1.13,16,1,2,0,999,999
2026-04-10 23:55:43.793,192.168.1.13,12,1,2,0,999,999
2026-04-10 23:55:43.794,192.168.1.13,8,1,2,0,999,999
2026-04-10 23:55:43.794,192.168.1.13,4,1,2,0,999,999
